LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
superkingdom	Bacteria	2	1260518	140707184	0.997430	37530859	0.997717	109.612742	0.789402
superkingdom	Archaea	2157	300039	32937596	0.997295	8908297	0.984516	20.309147	0.146261
superkingdom	Viruses	10239	829	90266	0.997288	60671	0.775294	8.933454	0.064336
phylum	Pseudomonadota	1224	370070	35491457	0.997430	13024862	0.972762	57.786835	0.416166
phylum	Bacteroidota	976	625493	78676110	0.997290	12333315	0.997717	26.021715	0.187402
phylum	Euryarchaeota	28890	219064	24435821	0.996917	6453513	0.984516	14.748377	0.106214
phylum	Bacillota	1239	27543	2724459	0.997114	1478223	0.394416	8.828140	0.063578
phylum	Actinomycetota	201174	71675	6181050	0.997404	3534811	0.503650	7.297877	0.052557
phylum	Nitrososphaerota	651137	80975	8501775	0.997295	2454784	0.946038	5.560769	0.040047
phylum	Campylobacterota	29547	55062	4898380	0.997285	1529361	0.609343	5.044841	0.036332
phylum	Uroviricota	2731618	399	36711	0.997288	20742	0.775294	3.867070	0.027850
phylum	Thermodesulfobacteriota	200940	85368	9983402	0.996930	5337026	0.461888	3.434131	0.024732
phylum	Pisuviricota	2732408	176	22958	0.995605	19373	0.331990	2.048692	0.014754
phylum	Kitrinoviricota	2732406	70	9287	0.996223	4758	0.734760	1.563496	0.011260
phylum	Nitrospirota	40117	22946	2569353	0.995188	151493	0.027827	0.649346	0.004676
phylum	Cossaviricota	2732415	22	2587	0.988154	2399	0.236403	0.558776	0.004024
phylum	Spirochaetota	203691	2063	170700	0.996616	139955	0.108533	0.545225	0.003927
phylum	Preplasmiviricota	2732008	116	14400	0.996519	10424	0.358966	0.495885	0.003571
phylum	Negarnaviricota	2497569	26	3298	0.976559	2476	0.083030	0.334483	0.002409
phylum	Nucleocytoviricota	2732007	6	308	0.803030	276	0.031604	0.053300	0.000384
phylum	Duplornaviricota	2732405	2	177	0.659539	177	0.010170	0.010170	0.000073
phylum	Acanthamoeba castellanii medusavirus - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Acanthamoeba castellanii medusavirus - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	12	540	0.500770	46	0.000135	0.001582	0.000011
phylum	Cyanobacteriota	1117	54	2328	0.500364	339	0.000045	0.000885	0.000006
phylum	Verrucomicrobiota	74201	48	1676	0.501466	226	0.000078	0.000808	0.000006
phylum	Deinococcota	1297	27	1178	0.500136	83	0.000024	0.000569	0.000004
phylum	Acidobacteriota	57723	32	1314	0.500788	162	0.000057	0.000384	0.000003
phylum	Chlamydiota	204428	10	371	0.500175	38	0.000038	0.000367	0.000003
phylum	Myxococcota	2818505	44	1513	0.500059	223	0.000013	0.000365	0.000003
phylum	Planctomycetota	203682	34	2031	0.500450	347	0.000027	0.000324	0.000002
phylum	Fusobacteriota	32066	15	628	0.500220	59	0.000029	0.000305	0.000002
phylum	Synergistota	508458	11	332	0.500092	62	0.000022	0.000224	0.000002
phylum	Chloroflexota	200795	13	510	0.500187	128	0.000033	0.000178	0.000001
phylum	Nitrospinota	1293497	6	259	0.500101	46	0.000018	0.000103	0.000001
phylum	Mycoplasmatota	544448	2	66	0.500218	33	0.000051	0.000102	0.000001
phylum	Bdellovibrionota	3018035	1	35	0.500043	35	0.000010	0.000010	0.000000
phylum	Gemmatimonadota	142182	1	32	0.500034	32	0.000008	0.000008	0.000000
class	Betaproteobacteria	28216	240750	22346026	0.997430	5415143	0.972762	29.427731	0.211931
class	Gammaproteobacteria	1236	84752	8764196	0.997317	5021733	0.669116	26.425544	0.190310
class	Flavobacteriia	117743	479625	62252696	0.997290	4891795	0.997717	20.862884	0.150249
class	Methanomicrobia	224756	219063	24435790	0.996917	6453482	0.984516	14.748357	0.106214
class	Actinomycetes	1760	71645	6179325	0.997404	3534572	0.503650	7.297057	0.052552
class	Nitrososphaeria	1643678	80975	8501775	0.997295	2454784	0.946038	5.560769	0.040047
class	Bacteroidia	200643	145861	16423177	0.996996	7441345	0.358874	5.158620	0.037151
class	Epsilonproteobacteria	3031852	55062	4898380	0.997285	1529361	0.609343	5.044841	0.036332
class	Bacilli	91061	13507	1383791	0.995157	878933	0.149251	4.420965	0.031839
class	Clostridia	186801	14036	1340668	0.997114	599290	0.394416	4.407175	0.031739
class	Caudoviricetes	2731619	399	36711	0.997288	20742	0.775294	3.867070	0.027850
class	Pisoniviricetes	2732506	170	22468	0.995605	18883	0.331990	1.941752	0.013984
class	Alphaproteobacteria	28211	44484	4375177	0.997257	2587389	0.561993	1.930239	0.013901
class	Desulfovibrionia	3031449	48341	5670535	0.996910	2873039	0.438439	1.909651	0.013753
class	Alsuviricetes	2732461	70	9287	0.996223	4758	0.734760	1.563496	0.011260
class	Desulfuromonadia	3031651	37011	4312242	0.996930	2463815	0.461888	1.524350	0.010978
class	Nitrospiria	203693	22946	2569353	0.995188	151493	0.027827	0.649346	0.004676
class	Spirochaetia	203692	2063	170700	0.996616	139955	0.108533	0.545225	0.003927
class	Tectiliviricetes	2732529	116	14400	0.996519	10424	0.358966	0.495885	0.003571
class	Papovaviricetes	2732421	18	2084	0.988154	1983	0.236403	0.452859	0.003261
class	Monjiviricetes	2497574	24	2998	0.976559	2194	0.083030	0.313161	0.002255
class	Stelpaviricetes	2732507	6	490	0.922335	490	0.106940	0.106940	0.000770
class	Quintoviricetes	2732422	4	503	0.945160	416	0.087597	0.105917	0.000763
class	Pokkesviricetes	2732525	6	308	0.803030	276	0.031604	0.053300	0.000384
