LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	SNI_SCORE	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE_GC	REL_ABUNDANCE
superkingdom	Bacteria	2	570860	84912059	0.999999	21706199	0.948097	54.841510		0.756579
superkingdom	Archaea	2157	128342	19054199	0.999999	6001974	0.879275	12.393270		0.170974
superkingdom	Viruses	10239	375	55740	0.999207	40108	0.640856	5.251348		0.072446
phylum	Pseudomonadota	1224	103995	15317931	0.999995	6688651	0.736558	26.238662		0.361982
phylum	Bacteroidota	976	385209	57560060	0.999999	8806520	0.948097	17.691642		0.244069
phylum	Euryarchaeota	28890	98531	14649394	0.999999	4501043	0.879275	9.589212		0.132290
phylum	Bacillota	1239	8962	1331184	0.999900	805382	0.256310	4.213671		0.058131
phylum	Nitrososphaerota	651137	29811	4404805	0.999997	1500931	0.622327	2.804058		0.038684
phylum	Actinomycetota	201174	14244	2068922	0.999971	1304897	0.332400	2.788846		0.038474
phylum	Thermodesulfobacteriota	200940	38916	5784855	0.999994	3354432	0.324647	1.993164		0.027497
phylum	Pisuviricota	2732408	124	18604	0.997960	15748	0.312920	1.695441		0.023390
phylum	Uroviricota	2731618	117	17226	0.998859	10453	0.387387	1.691195		0.023331
phylum	Campylobacterota	29547	9464	1348979	0.999979	601993	0.302662	1.381621		0.019060
phylum	Kitrinoviricota	2732406	44	6504	0.999207	4170	0.640856	1.092739		0.015075
phylum	Nitrospirota	40117	9724	1449685	0.999052	100927	0.022414	0.362410		0.005000
phylum	Preplasmiviricota	2732008	64	9506	0.998707	6559	0.225869	0.327353		0.004516
phylum	Cossaviricota	2732415	8	1200	0.973575	1144	0.132395	0.247504		0.003415
phylum	Negarnaviricota	2497569	18	2700	0.972380	2034	0.071335	0.197116		0.002719
phylum	Spirochaetota	203691	346	50443	0.997955	43397	0.056533	0.171492		0.002366
class	Flavobacteriia	117743	322814	48298825	0.999999	4200946	0.948097	14.799624		0.204172
class	Betaproteobacteria	28216	63319	9308258	0.999995	2529208	0.736558	13.723034		0.189319
class	Gammaproteobacteria	1236	29790	4421933	0.999985	3112608	0.404710	11.819906		0.163064
class	Methanomicrobia	224756	98531	14649394	0.999999	4501043	0.879275	9.589212		0.132290
class	Bacteroidia	200643	62395	9261235	0.999987	4605574	0.214506	2.892018		0.039898
class	Nitrososphaeria	1643678	29811	4404805	0.999997	1500931	0.622327	2.804058		0.038684
class	Actinomycetes	1760	14244	2068922	0.999971	1304897	0.332400	2.788846		0.038474
class	Bacilli	91061	5176	771150	0.999617	525744	0.120746	2.408927		0.033233
class	Clostridia	186801	3786	560034	0.999900	279638	0.256310	1.804744		0.024898
class	Pisoniviricetes	2732506	124	18604	0.997960	15748	0.312920	1.695441		0.023390
class	Caudoviricetes	2731619	117	17226	0.998859	10453	0.387387	1.691195		0.023331
class	Epsilonproteobacteria	3031852	9464	1348979	0.999979	601993	0.302662	1.381621		0.019060
class	Desulfovibrionia	3031449	22708	3379226	0.999994	1871262	0.324647	1.141515		0.015748
class	Alsuviricetes	2732461	44	6504	0.999207	4170	0.640856	1.092739		0.015075
class	Desulfuromonadia	3031651	16208	2405629	0.999992	1483170	0.290489	0.851650		0.011749
class	Alphaproteobacteria	28211	10886	1587740	0.999991	1046835	0.275695	0.695722		0.009598
class	Nitrospiria	203693	9724	1449685	0.999052	100927	0.022414	0.362410		0.005000
class	Tectiliviricetes	2732529	64	9506	0.998707	6559	0.225869	0.327353		0.004516
class	Papovaviricetes	2732421	6	900	0.973575	844	0.132395	0.184333		0.002543
class	Monjiviricetes	2497574	16	2400	0.972380	1752	0.071335	0.175794		0.002425
class	Spirochaetia	203692	346	50443	0.997955	43397	0.056533	0.171492		0.002366
class	Quintoviricetes	2732422	2	300	0.911574	300	0.063171	0.063171		0.000871
order	Flavobacteriales	200644	322814	48298825	0.999999	4200946	0.948097	14.799624		0.204172
order	Nitrosomonadales	32003	39113	5777715	0.999995	1278302	0.736558	9.901921		0.136604
order	Enterobacterales	91347	2239	331488	0.998675	257476	0.404710	6.553903		0.090416
order	Methanotrichales	2905377	27336	4091330	0.999996	619594	0.879275	5.806064		0.080099
order	Burkholderiales	80840	23065	3361016	0.999989	1223314	0.499595	3.689987		0.050906
order	Bacteroidales	171549	62395	9261235	0.999987	4605574	0.214506	2.892018		0.039898
order	Pseudomonadales	72274	2586	383207	0.999214	266247	0.157229	2.584801		0.035659
order	Lactobacillales	186826	5176	771150	0.999617	525744	0.120746	2.408927		0.033233
order	Bifidobacteriales	85004	7742	1142486	0.999971	657030	0.332400	2.203975		0.030405
order	Nitrososphaerales	1033996	24855	3677950	0.999997	1133930	0.622327	2.025041		0.027937
order	Methanomicrobiales	2191	43236	6471512	0.999999	2448775	0.761898	2.014800		0.027796
order	Eubacteriales	186802	3786	560034	0.999900	279638	0.256310	1.804744		0.024898
order	Methanosarcinales	94695	27959	4086552	0.999994	1432674	0.384907	1.768349		0.024396
order	Moraxellales	2887326	4106	604597	0.985736	171164	0.058266	1.472705		0.020317
order	Campylobacterales	213849	9464	1348979	0.999979	601993	0.302662	1.381621		0.019060
order	Picornavirales	464095	65	9754	0.997379	7834	0.312920	1.347987		0.018596
order	Desulfovibrionales	213115	22708	3379226	0.999994	1871262	0.324647	1.141515		0.015748
order	Martellivirales	2732544	41	6054	0.999207	3774	0.640856	1.028018		0.014182
order	Geobacterales	3031668	16208	2405629	0.999992	1483170	0.290489	0.851650		0.011749
order	Legionellales	118969	15443	2311656	0.999974	1878725	0.161139	0.803164		0.011080
order	Nitrosopumilales	31932	4956	726855	0.999987	367001	0.393339	0.779017		0.010747
order	Phikzvirus - no_f_rank - no_o_rank	Phikzvirus - no_f_rank - no_o_rank	53	7865	0.998829	4226	0.387387	0.720964		0.009946
order	Mycobacteriales	85007	6495	925386	0.999971	647508	0.186428	0.584417		0.008062
order	Hyphomicrobiales	356	10488	1529539	0.999991	999870	0.275695	0.560847		0.007737
order	Straboviridae - no_o_rank	Straboviridae - no_o_rank	9	1350	0.990282	703	0.275686	0.529412		0.007304
order	Obolenskvirus - no_f_rank - no_o_rank	Obolenskvirus - no_f_rank - no_o_rank	55	8011	0.998859	5524	0.303967	0.440819		0.006081
