LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
superkingdom	Bacteria	2	5331268	555848485	0.980643	224081175	0.986515	267.068115	0.999999
superkingdom	Viruses	10239	1	31	0.500635	31	0.000158	0.000158	0.000001
superkingdom	Archaea	2157	4	141	0.500161	141	0.000032	0.000087	0.000000
phylum	Pseudomonadota	1224	2607775	265069139	0.979287	105181139	0.986515	133.893297	0.501345
phylum	Actinomycetota	201174	1216126	115029147	0.980643	46140055	0.961174	58.914018	0.220595
phylum	Bacillota	1239	457116	57271430	0.977483	14908694	0.984024	26.193465	0.098078
phylum	Bacteroidota	976	327270	36312286	0.976558	18898623	0.931843	19.176481	0.071804
phylum	Chlorobiota	1090	72774	6599425	0.977599	906495	0.946296	6.912054	0.025881
phylum	Thermodesulfobacteriota	200940	186062	22612915	0.974386	13449945	0.822027	6.053216	0.022665
phylum	Campylobacterota	29547	51812	4894113	0.977197	1736569	0.875621	4.980949	0.018650
phylum	Planctomycetota	203682	212259	25256666	0.974684	9134412	0.956045	4.296636	0.016088
phylum	Chloroflexota	200795	42788	5827845	0.970459	2189115	0.900747	2.398034	0.008979
phylum	Myxococcota	2818505	107979	11451185	0.980187	7198310	0.655720	1.960891	0.007342
phylum	Deinococcota	1297	18327	1886549	0.976346	1266273	0.466375	0.806461	0.003020
phylum	Fusobacteriota	32066	2074	174427	0.978997	151806	0.204472	0.539528	0.002020
phylum	Gemmatimonadota	142182	15067	1753144	0.973167	1390961	0.368755	0.464783	0.001740
phylum	Verrucomicrobiota	74201	10030	1198142	0.972477	1048724	0.234686	0.273079	0.001023
phylum	Bdellovibrionota	3018035	2766	374622	0.971265	347075	0.139400	0.150492	0.000563
phylum	Spirochaetota	203691	1028	136900	0.970854	132471	0.051568	0.054422	0.000204
phylum	Cyanobacteriota	1117	5	173	0.500331	173	0.000085	0.000159	0.000001
phylum	Uroviricota	2731618	1	31	0.500635	31	0.000158	0.000158	0.000001
phylum	Euryarchaeota	28890	3	107	0.500161	107	0.000032	0.000066	0.000000
phylum	Mycoplasmatota	544448	2	85	0.500124	43	0.000024	0.000047	0.000000
phylum	Acidobacteriota	57723	4	160	0.500092	160	0.000017	0.000043	0.000000
phylum	Candidatus Thermoplasmatota	2283796	1	34	0.500097	34	0.000022	0.000022	0.000000
phylum	Caldisericota	67814	1	30	0.500081	30	0.000021	0.000021	0.000000
phylum	Chrysiogenota	200938	1	38	0.500070	38	0.000015	0.000015	0.000000
phylum	Nitrospinota	1293497	1	32	0.500053	32	0.000013	0.000013	0.000000
phylum	Armatimonadota	67819	1	32	0.500041	32	0.000010	0.000010	0.000000
class	Actinomycetes	1760	1147646	107471293	0.980643	42585841	0.961174	55.956042	0.209520
class	Betaproteobacteria	28216	861037	87798929	0.979143	37409716	0.955346	47.629610	0.178342
class	Gammaproteobacteria	1236	761016	80089490	0.979287	27366120	0.986515	45.301688	0.169626
class	Alphaproteobacteria	28211	985722	97180720	0.978277	40405303	0.935960	40.961999	0.153376
class	Bacilli	91061	238254	29970885	0.972599	3008673	0.974924	16.240597	0.060811
class	Flavobacteriia	117743	241347	25346783	0.976558	12663520	0.931843	16.165422	0.060529
class	Clostridia	186801	216726	27034050	0.977483	11646719	0.984024	9.703621	0.036334
class	Chlorobiia	191410	72774	6599425	0.977599	906495	0.946296	6.912054	0.025881
class	Epsilonproteobacteria	3031852	51812	4894113	0.977197	1736569	0.875621	4.980949	0.018650
class	Planctomycetia	203683	212259	25256666	0.974684	9134412	0.956045	4.296636	0.016088
class	Anaerolineae	292625	42786	5827778	0.970459	2189048	0.900747	2.398008	0.008979
class	Coriobacteriia	84998	47953	5771211	0.972486	2316867	0.865986	2.234131	0.008365
class	Desulfobulbia	3031451	48391	5707553	0.972902	2551122	0.822027	1.839165	0.006886
class	Desulfuromonadia	3031651	35533	4194397	0.974386	2917324	0.564729	1.476034	0.005527
class	Cytophagia	768503	47477	6254757	0.970940	3327087	0.751256	1.434112	0.005370
class	Syntrophobacteria	3024408	34426	4313827	0.971800	3109678	0.571555	1.283861	0.004807
class	Desulfobacteria	3024418	63332	7894955	0.971936	4415728	0.709300	1.268261	0.004749
class	Polyangiales - no_c_rank	Polyangiales - no_c_rank	87960	9627045	0.974182	5608489	0.655720	1.125583	0.004215
class	Bacteroidia	200643	24149	2884339	0.972734	2220507	0.434183	1.059165	0.003966
class	Deinococci	188787	18327	1886549	0.976346	1266273	0.466375	0.806461	0.003020
