k141_18225	AYV76169.1	26.9	1.06e-10	65.9
k141_1440	YP_003933845.1	37.0	9.95e-06	48.5
k141_41219	QBK87503.1	61.6	1.30e-21	94.0
k141_6720	BAM74639.1	57.8	6.69e-22	89.0
k141_28286	ARF08710.1	28.3	1.56e-07	57.4
k141_59419	NP_077550.1	30.1	3.29e-06	50.8
k141_1920	QFG74638.1	50.0	5.31e-45	156
k141_34032	QBZ81276.1	37.1	5.19e-11	62.0
k141_26851	AYV76607.1	31.4	5.55e-06	46.6
k141_1442	QBK88952.1	34.8	2.97e-52	193
k141_15351	QIG59801.1	36.9	6.12e-44	162
k141_46967	YP_009665042.1	31.8	3.54e-07	53.9
k141_41696	QOI90522.1	41.3	6.09e-90	292
k141_41222	QKF94727.1	36.8	4.35e-14	79.0
k141_25410	QOI90522.1	40.3	1.96e-22	94.7
k141_56546	CCQ71393.1	43.4	3.74e-46	174
k141_5	AUV59005.1	32.3	1.42e-26	109
k141_485	YP_004063436.1	58.2	1.03e-40	144
k141_25411	APU89138.1	25.1	3.91e-16	86.3
k141_7202	AYV75222.1	26.3	1.87e-18	90.1
k141_59423	WNO13952.1	43.3	5.16e-189	558
k141_4324	YP_002154718.1	30.1	6.40e-21	104
k141_60378	WBF70937.1	23.8	1.86e-17	92.4
k141_51757	XDO01843.1	36.0	1.67e-11	62.8
k141_45049	WBR14964.1	48.1	3.08e-86	293
k141_4334	BAE72463.1	40.7	3.61e-15	73.6
k141_59899	QZW33684.1	32.4	1.09e-17	93.6
k141_40259	AYV78583.1	46.1	1.24e-38	144
k141_17749	AVL94851.1	32.1	5.21e-28	122
k141_4801	QBK86710.1	38.3	7.72e-12	70.1
k141_50322	YP_009345814.1	48.0	1.27e-09	60.5
k141_10082	QBK88329.1	33.1	4.85e-17	84.7
k141_42657	QBK89352.1	35.5	3.04e-29	119
k141_4802	ADX06189.1	23.5	9.79e-14	77.4
k141_17752	QKU33701.1	31.7	9.88e-77	273
k141_50327	ARF12058.1	28.6	7.04e-14	74.7
k141_55599	AYV84288.1	41.5	1.10e-20	95.9
k141_47444	QFG74471.1	36.5	3.37e-20	92.4
k141_28291	QOI90522.1	41.1	1.57e-50	176
k141_22057	QFG74715.1	37.1	1.08e-34	139
k141_52713	QBZ81276.1	33.1	1.60e-15	79.7
k141_58461	WZO89041.1	39.0	3.98e-106	335
k141_22538	XDO02361.1	29.3	1.57e-08	61.2
k141_29723	ARF08656.1	41.9	7.20e-48	181
k141_5287	BAE72466.1	99.2	1.71e-72	242
k141_5288	YP_009001498.1	38.4	1.85e-06	48.5
k141_5289	QBK87013.1	36.6	2.85e-12	67.0
k141_29724	QBK87870.1	35.6	6.21e-35	138
k141_60865	QDY52085.1	37.5	6.72e-11	61.6
k141_25897	QFG73584.1	32.1	7.51e-12	66.2
k141_36916	APU88852.1	31.5	1.33e-45	179
k141_1924	QBK88421.1	38.7	5.39e-21	95.9
k141_36917	QPI16506.1	50.0	1.22e-22	90.5
k141_39302	CAK7597259.1	24.4	1.90e-32	144
k141_52720	QOI90522.1	32.9	6.68e-116	362
k141_6726	QBK86945.1	60.8	3.45e-104	339
k141_1443	WZH61920.1	43.0	9.97e-20	80.1
k141_52724	QDY51705.1	36.4	1.43e-15	75.1
k141_52725	ARF12551.1	46.9	7.90e-15	73.9
k141_22539	QPI16131.1	41.1	8.00e-106	353
k141_58464	QKU35065.1	30.1	1.81e-51	196
k141_43627	QBK86221.1	28.6	3.56e-06	49.3
k141_32117	YP_009430166.1	41.8	1.51e-50	172
k141_42664	WGU26825.1	29.1	5.49e-18	87.4
k141_9129	AAD26531.1	46.9	9.01e-95	340
k141_51285	CAE02704.1	31.1	2.01e-09	63.2
k141_48882	QPI16363.1	32.2	1.19e-33	131
k141_22544	QBK84775.1	48.3	3.47e-45	157
k141_41700	QDY52052.1	27.9	5.53e-08	62.4
k141_45055	QPI16195.1	41.1	4.90e-11	68.2
k141_2885	QBK88577.1	38.6	1.75e-28	112
k141_2888	ARF08270.1	30.9	2.42e-11	67.4
k141_48883	QKF93533.1	40.4	1.31e-55	199
k141_42185	WZH61920.1	47.9	6.96e-16	70.5
k141_32120	QBK90914.1	26.9	8.63e-10	65.9
k141_14414	YP_009001498.1	25.5	2.29e-08	54.3
k141_41703	ABY48141.1	39.0	3.02e-48	173
k141_30202	ULY68596.1	37.4	5.79e-65	232
k141_21102	YP_010776688.1	44.0	1.05e-21	92.0
k141_21580	ARF09398.1	33.0	4.22e-06	49.3
k141_54629	ARF10786.1	19.1	8.28e-06	52.0
k141_57993	AYV81995.1	34.0	1.28e-47	184
k141_14888	QDH91349.1	46.8	4.77e-45	168
k141_2896	QFG74715.1	36.5	1.17e-25	110
k141_48887	QBK88577.1	37.4	4.19e-144	457
k141_33079	AYV75146.1	27.9	1.42e-36	147
k141_57995	QBK87586.1	36.2	7.15e-21	97.8
k141_57997	ARF12058.1	31.9	1.52e-32	130
k141_49850	ARF12409.1	36.6	9.76e-17	77.8
k141_43635	ABZ80022.1	35.3	2.15e-45	174
k141_5291	YP_009173627.1	49.7	3.15e-169	517
k141_43637	ARF10875.1	30.9	3.42e-15	77.0
k141_33565	QOR60244.1	32.9	4.78e-61	223
k141_34990	QKU35964.1	25.9	2.12e-47	189
k141_59907	ATZ80239.1	26.3	4.35e-21	102
k141_36428	QBK87322.1	38.5	3.57e-16	76.3
k141_52727	QDY51684.1	35.3	1.05e-32	127
k141_40748	WZO84362.1	46.4	1.66e-11	65.9
k141_8641	AUV58690.1	43.5	9.91e-37	141
k141_36430	NP_077671.1	30.6	2.23e-13	72.4
k141_4336	YP_009120775.1	39.2	1.42e-16	87.8
k141_58471	XDO02362.1	46.5	1.01e-36	138
k141_4337	YP_009001498.1	35.1	5.93e-06	47.4
k141_12957	AXH78870.1	30.7	2.93e-23	106
k141_10562	QKU35901.1	35.9	1.02e-25	105
k141_49856	AGE56246.1	21.8	2.01e-06	55.8
k141_28768	QOR60542.1	36.1	8.13e-15	75.9
k141_16319	AFC34920.1	32.6	2.57e-11	64.7
k141_965	QBK89352.1	42.0	2.33e-45	166
k141_36434	AGE57679.1	38.8	7.35e-22	92.4
k141_31161	CCQ71110.1	28.0	5.97e-23	110
k141_51288	QBK89188.1	54.1	2.69e-126	387
k141_38343	QKU33701.1	32.5	7.01e-18	87.8
k141_56547	YP_009483375.1	26.0	2.86e-09	65.5
k141_19666	ADB85364.1	46.9	4.83e-54	179
k141_30687	QBK87243.1	33.8	1.56e-25	115
k141_21104	QKU34286.1	36.5	1.66e-17	87.8
k141_56551	CAK7597107.1	27.7	6.32e-24	108
k141_10567	AYV79923.1	25.0	1.91e-14	78.2
k141_30690	YP_009001498.1	27.8	2.42e-09	64.3
k141_2904	QDY51648.1	45.2	3.48e-22	97.8
k141_56553	YP_009001498.1	29.2	1.71e-11	72.0
k141_23018	AGE52867.1	49.1	5.17e-11	65.5
k141_56554	AYV84105.1	29.5	4.39e-27	108
k141_56556	QOR60542.1	33.3	3.74e-06	48.5
k141_54634	AYD75902.1	32.4	2.77e-19	97.1
k141_30691	QPI16279.1	39.9	1.38e-78	269
k141_40265	QBK87243.1	31.7	5.40e-18	86.3
k141_22558	ARF10763.1	29.0	2.21e-09	62.8
k141_33086	QOI90522.1	39.0	2.77e-33	132
k141_18226	QKF94222.1	36.1	1.38e-52	195
k141_40270	AYV81995.1	39.3	5.82e-18	83.6
k141_18227	WNO13952.1	57.1	4.57e-179	520
k141_45066	QKF93592.1	31.3	3.16e-09	58.9
k141_58474	AYV79183.1	38.1	8.38e-08	55.5
k141_17759	QKU35065.1	25.2	3.49e-07	60.5
